"category","niche","City","State","nichecounts","nichecounts_minmaxnorm","id"
"Leadership & Strategy","Integrated Dev Planning","Saint Paul","Minnesota",2,0.03,1
"Infrastructure & Ecosystems","Effective Provision of Critical Services","Saint Paul","Minnesota",2,0.03,2
"Leadership & Strategy","Effective Leadership & Management ","Saint Paul","Minnesota",3,0.0357142857142857,4
"Leadership & Strategy","Empowered Stakeholders","Saint Paul","Minnesota",7,0.178571428571429,5
"Health & Wellbeing","Effective Safeguards for Health & Life","Saint Paul","Minnesota",4,0.0714285714285714,6
"Health & Wellbeing","Diverse Livelihood & Employment","Saint Paul","Minnesota",11,0.321428571428571,7
"Health & Wellbeing","Minimum Human Vulnerability ","Saint Paul","Minnesota",13,0.392857142857143,8
"Infrastructure & Ecosystems","Reduced Exposure & Fragility","Saint Paul","Minnesota",11,0.321428571428571,9
"Infrastructure & Ecosystems","Reliable Mobility & Communication","Saint Paul","Minnesota",6,0.142857142857143,10
"Economy & Society","Collective ID & Cohesion","Saint Paul","Minnesota",30,1,11
"Economy & Society","Security & Law","Saint Paul","Minnesota",7,0.178571428571429,12
"Economy & Society","Sustainable Econ","Saint Paul","Minnesota",17,0.535714285714286,13
"Health & Wellbeing","Effective Safeguards for Health & Life","Elk River","Minnesota",2,0.03,2
"Leadership & Strategy","Effective Leadership & Management ","Elk River","Minnesota",3,0.0294117647058824,3
"Leadership & Strategy","Empowered Stakeholders","Elk River","Minnesota",10,0.235294117647059,4
"Leadership & Strategy","Integrated Dev Planning","Elk River","Minnesota",4,0.0588235294117647,5
"Health & Wellbeing","Diverse Livelihood & Employment","Elk River","Minnesota",4,0.0588235294117647,6
"Health & Wellbeing","Minimum Human Vulnerability ","Elk River","Minnesota",3,0.0294117647058824,7
"Infrastructure & Ecosystems","Reduced Exposure & Fragility","Elk River","Minnesota",36,1,8
"Infrastructure & Ecosystems","Effective Provision of Critical Services","Elk River","Minnesota",3,0.0294117647058824,9
"Infrastructure & Ecosystems","Reliable Mobility & Communication","Elk River","Minnesota",6,0.117647058823529,10
"Economy & Society","Collective ID & Cohesion","Elk River","Minnesota",15,0.382352941176471,11
"Economy & Society","Sustainable Econ","Elk River","Minnesota",18,0.470588235294118,12
"Economy & Society","Security & Law","Elk River","Minnesota",0.03,0.03,13
"Leadership & Strategy","Effective Leadership & Management ","Pontotoc","Mississippi",1,0.03,2
"Infrastructure & Ecosystems","Effective Provision of Critical Services","Pontotoc","Mississippi",1,0.03,3
"Leadership & Strategy","Empowered Stakeholders","Pontotoc","Mississippi",4,0.428571428571429,4
"Leadership & Strategy","Integrated Dev Planning","Pontotoc","Mississippi",3,0.285714285714286,5
"Health & Wellbeing","Effective Safeguards for Health & Life","Pontotoc","Mississippi",2,0.142857142857143,6
"Health & Wellbeing","Diverse Livelihood & Employment","Pontotoc","Mississippi",2,0.142857142857143,7
"Health & Wellbeing","Minimum Human Vulnerability ","Pontotoc","Mississippi",2,0.142857142857143,8
"Infrastructure & Ecosystems","Reliable Mobility & Communication","Pontotoc","Mississippi",2,0.142857142857143,9
"Economy & Society","Collective ID & Cohesion","Pontotoc","Mississippi",6,0.714285714285714,10
"Economy & Society","Sustainable Econ","Pontotoc","Mississippi",8,1,11
"Infrastructure & Ecosystems","Reduced Exposure & Fragility","Pontotoc","Mississippi",0.03,0.03,12
"Economy & Society","Security & Law","Pontotoc","Mississippi",0.03,0.03,13
"Economy & Society","Security & Law","Ramsey City","Minnesota",3,0.03,1
"Leadership & Strategy","Effective Leadership & Management ","Ramsey City","Minnesota",12,0.204545454545455,3
"Leadership & Strategy","Empowered Stakeholders","Ramsey City","Minnesota",16,0.295454545454545,4
"Leadership & Strategy","Integrated Dev Planning","Ramsey City","Minnesota",29,0.590909090909091,5
"Health & Wellbeing","Diverse Livelihood & Employment","Ramsey City","Minnesota",7,0.0909090909090909,6
"Health & Wellbeing","Minimum Human Vulnerability ","Ramsey City","Minnesota",7,0.0909090909090909,7
