BroadCategories,NicheCategories,CRIIndicators,SearchTerm,Hits,Kelly Search,
Economy & Society,Sustainable Econ,,economy & society,0,,
Economy & Society,Sustainable Econ,,economy and society,0,,
Economy & Society,Sustainable Econ,,economic,14,119,
Economy & Society,Sustainable Econ,,economy,0,17,
Economy & Society,Sustainable Econ,,society,2,,
Economy & Society,Sustainable Econ,,sustainable economy,0,,
Economy & Society,Sustainable Econ,,sustainable,0,,
Economy & Society,Sustainable Econ,,economy,0,,
Economy & Society,Sustainable Econ,Strong integration w/regional & global econ,integration,0,,
Economy & Society,Sustainable Econ,Strong integration w/regional & global econ,regional economy,0,,
Economy & Society,Sustainable Econ,Strong integration w/regional & global econ,regional,0,,
Economy & Society,Sustainable Econ,Strong integration w/regional & global econ,global economy,0,,
Economy & Society,Sustainable Econ,Strong integration w/regional & global econ,global,0,,
Economy & Society,Sustainable Econ,Strong integration w/regional & global econ,strong,2,,
Economy & Society,Sustainable Econ,Strong integration w/regional & global econ,strong integration,0,,
Economy & Society,Sustainable Econ,Attractive biz environment,attractive business environment,0,,
Economy & Society,Sustainable Econ,Attractive biz environment,attractive,0,,
Economy & Society,Sustainable Econ,Attractive biz environment,attractive business,0,,
Economy & Society,Sustainable Econ,Attractive biz environment,business,85,139,
Economy & Society,Sustainable Econ,Attractive biz environment,business environment,0,,
Economy & Society,Sustainable Econ,Public finances,public finance,0,,
Economy & Society,Sustainable Econ,Public finances,public finances,0,,
Economy & Society,Sustainable Econ,Public finances,public,1382,,
Economy & Society,Sustainable Econ,Public finances,finance,9,,
Economy & Society,Sustainable Econ,Public finances,finances,0,,
Economy & Society,Sustainable Econ,Biz continuity planning,business continuity planning,0,,
Economy & Society,Sustainable Econ,Biz continuity planning,business planning,0,2,
Economy & Society,Sustainable Econ,Biz continuity planning,business continuity,0,,
Economy & Society,Sustainable Econ,Biz continuity planning,continuity planning,0,,
Economy & Society,Sustainable Econ,Biz continuity planning,continuity,0,,
Economy & Society,Sustainable Econ,Diverse econ base,diverse economical base,0,,
Economy & Society,Sustainable Econ,Diverse econ base,diverse economy base,0,,
Economy & Society,Sustainable Econ,Diverse econ base,diverse economy,0,,
Economy & Society,Sustainable Econ,Diverse econ base,economical base,0,,
Economy & Society,Sustainable Econ,Diverse econ base,economic base,0,2,
Economy & Society,Sustainable Econ,Diverse econ base,diverse and integrated economic base,0,,
Economy & Society,Sustainable Econ,Diverse econ base,integrated economic base,0,,
Economy & Society,Sustainable Econ,Diverse econ base,integrated base,0,,
Economy & Society,Sustainable Econ,,vacancy,0,,
Economy & Society,Sustainable Econ,,vacancies,0,,
Economy & Society,Security & Law,,security & law,0,,
Economy & Society,Security & Law,,security and law,0,,
Economy & Society,Security & Law,,security,1,,
Economy & Society,Security & Law,,law,56,,
Economy & Society,Security & Law,Effect crime deterent systems,effective crime deterrent systems,0,,
Economy & Society,Security & Law,Effect crime deterent systems,effective crime,0,,
Economy & Society,Security & Law,Effect crime deterent systems,crime,2,7,
